,Name,Critic Rating,Critic Numbers,User Rating,User Numbers,Runtime (minutes),Genre,Studio,Box Office
258,Chaar Sahibzaade: Rise of Band Singh Bahadur,-,-,-,-,-,-,-,"$700,723"
259,Mr. Church,0.24,33,0.79,4524,104,Drama,Envision Media Arts,"$685,780"
260,Born to be Blue ,0.89,114,0.74,6832,98,"Art House & International, Drama, Musical & Performing Arts",New Real Films,"$678,203"
261,American Honey,0.79,197,0.64,8297,162,Drama,Parts and Labor,"$663,246"
262,El Jeremias,-,-,0.86,170,95,"Art House & International, Comedy, Drama, Kids & Family",Terregal Films,"$650,465"
263,City of Gold,0.92,60,0.81,3747,91,Documentary,Sundance Selects,"$640,979"
264,Remember ,0.72,95,0.78,4857,95,"Art House & International, Drama, Mystery & Suspense",A24 and DIRECTV,"$637,555"
265,Embrace: The Documentary,-,-,-,-,-,-,-,"$629,126"
266,Range 15,-,-,0.86,661,102,Comedy,Street Justice Films,"$621,738"
267,The Bronze,0.35,97,0.44,4914,100,"Comedy, Drama",Relativity Entertainment,"$615,816"
268,Tickled,0.93,106,0.86,4348,92,Documentary,Magnolia Pictures,"$613,956"
269,Master,0.33,93,0.35,27305,90,Comedy,Relativity Media,"$597,251"
270,"Lo and Behold, Reveries of the Connected World",0.93,133,0.67,5949,98,Documentary,Saville Productions,"$594,912"
271,Gleason,0.96,68,0.9,3872,110,Documentary,Dear Rivers Production,"$583,664"
272,A Tale of Love and Darkness,0.69,61,0.49,2457,95,"Art House & International, Drama",Focus World,"$572,212"
273,Tunnel,1.0,15,0.81,961,127,"Art House & International, Drama, Mystery & Suspense",Well Go USA Entertainment,"$568,876"
274,Knight of Cups,0.46,168,0.37,6286,118,"Drama, Romance",Broad Green Pictures,"$566,006"
275,Harry & Snowman,-,-,-,-,-,-,-,"$561,460"
276,Cold War 2,0.56,9,0.57,503,114,"Action & Adventure, Mystery & Suspense",Edko Films,"$560,824"
277,American Pastoral,0.21,112,0.29,2559,126,Drama,Lakeshore Entertainment,"$544,098"
278,The Age of Shadows,1.0,43,0.82,1331,139,"Action & Adventure, Drama",-,"$541,719"
279,Fitoor,0.18,11,0.45,319,140,"Art House & International, Drama, Romance",Disney India,"$528,799"
280,The First Monday in May,0.78,55,0.7,1842,90,Documentary,Conde Nast Entertainment,"$527,474"
281,Willy Wonka and the Chocolate Factory ,-,-,-,-,-,-,-,"$526,633"
